"date","time","landing_site","lat","lon","display_name","importance"
"08-09-1944","18:41","Chiswick",51.4923137,-0.263818,"Chiswick, London, Greater London, England, W4 5PS, United Kingdom",0.603963118581714
"08-09-1944","18:41","Parndon Wood, Epping",51.76052075,0.0653929132818328,"Parndon Wood, The Pinnacles, Harlow, Essex, East of England, England, United Kingdom",0.4
"10-09-1944","21:29","North Fambridge, Essex",51.6482318,0.674114041190056,"North Fambridge, Maldon, Essex, East of England, England, United Kingdom",0.610938798149577
"11-09-1944","09:08","Orpington",51.3805351,0.1062656,"Orpington, London, Greater London, England, BR6 0NA, United Kingdom",0.565778221712212
"11-09-1944","09:34","Magdalen Laver",51.747138,0.191955354749127,"Magdalen Laver, Epping Forest, Essex, East of England, England, United Kingdom",0.51689306175332
"12-09-1944","06:15","Barnes",51.4718962,-0.2387441,"Barnes, London Borough of Richmond upon Thames, London, Greater London, England, SW13 0BP, United Kingdom",0.57642553049604
"12-09-1944","08:19","Dagenham",51.5413271,0.1481142,"Dagenham, London Borough of Barking and Dagenham, London, Greater London, England, RM10 8QS, United Kingdom",0.585775867091488
"12-09-1944","08:52","Orpington",51.3805351,0.1062656,"Orpington, London, Greater London, England, BR6 0NA, United Kingdom",0.565778221712212
"12-09-1944","17:55","Paglesham, Essex",51.59964125,0.795893711996396,"Paglesham, Paglesham East End, Rochford, Essex, East of England, England, United Kingdom",0.480058384040689
"13-09-1944","11:05","Blackwater Estuary",NA,NA,NA,NA
"14-09-1944","04:53","Walthamstow",51.5844701,-0.0188186,"Walthamstow, London, Greater London, England, E17 3AL, United Kingdom",0.571555976209574
"14-09-1944","07:25","Woolwich",51.4826696,0.0623335,"Woolwich, London, Greater London, England, SE18 6FX, United Kingdom",0.610491366621664
"14-09-1944","13:15","Rotherfield, Sussex",51.0598494,0.227040299271047,"Rotherfield, Wealden, East Sussex, South East England, England, United Kingdom",0.533386683132434
"15-09-1944","04:07","Sunbury",51.418324,-0.4173517,"Sunbury, Downside, Sunbury Common, Sunbury-on-Thames, Spelthorne, Surrey, South East England, England, TW16 6SA, United Kingdom",0.401360254031496
"15-09-1944","14:21","Thames Estuary 8 miles N.E of Rochester",NA,NA,NA,NA
"16-09-1944","07:33","Southgate",51.6281547,-0.123596,"Southgate, London Borough of Enfield, London, Greater London, England, N14 6NJ, United Kingdom",0.531533343339616
"16-09-1944","08:28","Wembley",51.5531547,-0.2957562,"Wembley, London, Greater London, England, HA9 7BP, United Kingdom",0.616692903833889
"16-09-1944","10:29","Yiewsley",51.5128661,-0.4741522,"Yiewsley, London Borough of Hillingdon, London, Greater London, England, UB7 7QJ, United Kingdom",0.492027115756698
"16-09-1944","15:20","Willingdon, near Eastbourne",50.7987787,0.2562489,"Willingdon Road, Ratton Village, Eastbourne, East Sussex, South East England, England, BN20 9JT, United Kingdom",0.31
"16-09-1944","22:38","Romford, Essex",51.6144545,0.1200563,"Romford Road, Chigwell, London Borough of Redbridge, London, Essex, Greater London, England, IG7 4QX, United Kingdom",0.31
"17-09-1944","05:13","Orpington",51.3805351,0.1062656,"Orpington, London, Greater London, England, BR6 0NA, United Kingdom",0.565778221712212
"17-09-1944","06:04","East Ham",51.5329628,0.0553201,"East Ham, London, Greater London, England, E6 2RP, United Kingdom",0.641244337900677
"17-09-1944","12:07","Hockley, Essex",51.6073718,0.648152327278912,"Hockley, Rochford, Essex, East of England, England, United Kingdom",0.525439512435045
"17-09-1944","13:11","Coulsdon",51.3199716,-0.1393506,"Coulsdon, London, Greater London, England, CR5 2NF, United Kingdom",0.536293742480094
"17-09-1944","18:57","Lewisham",51.4624325,-0.0101331,"Lewisham, London, Greater London, England, SE13 6BB, United Kingdom",0.584838264410508
"18-09-1944","19:03","Lambeth",51.5013012,-0.117287,"Lambeth, London, Greater London, England, SE1 7GD, United Kingdom",0.574975289482221
"25-09-1944","19:04","Hoxne, Suffolk",52.3501173,1.2018093,"Hoxne, Mid Suffolk, Suffolk, East of England, England, United Kingdom",0.591537269287427
"26-09-1944","16:30","Ranworth, Norfolk",52.6777727,1.4875524,"Ranworth, Woodbastwick, Panxworth, Broadland, Norfolk, East of England, England, NR13 6HT, United Kingdom",0.444193162948078
"27-09-1944","10:48","Newton St. Faith, Norfolk",52.70473815,1.28302193326674,"Newton St Faith, Norfolk, East of England, England, United Kingdom",0.411
"27-09-1944","16:25","Whittingham, Norfolk",NA,NA,NA,NA
"27-09-1944","17:55","Acle, Norfolk",52.63214765,1.54822361883119,"Acle, Broadland, Norfolk, East of England, England, United Kingdom",0.579251904225044
"27-09-1944","18:20","In sea 20 mls. E. Of Harwich.",NA,NA,NA,NA
"28-09-1944","14:22","In sea 20 mls. N. Of Yarmouth.",NA,NA,NA,NA
"29-09-1944","13:11","Hemsby, Norfolk",52.6969622,1.6917444,"Hemsby, The Street, Hemsby, Great Yarmouth, Norfolk, East of England, England, NR29 4JT, United Kingdom",0.524123468139824
"29-09-1944","19:44","Coltishall, Norfolk",52.7362481,1.36720970488443,"Coltishall, Broadland, Norfolk, East of England, England, United Kingdom",0.540054390558144
"29-09-1944","20:41","Thorpe, nr. Norwich",NA,NA,NA,NA
"30-09-1944","12:14","Damgate, Norfolk",52.6332787,1.5508455,"Damgate, Broadland, Norfolk, East of England, England, NR13 3DS, United Kingdom",0.495
"01-10-1944","17:55","Bungay, Suffolk",52.4562248,1.4373413,"Bungay, East Suffolk, Suffolk, East of England, England, United Kingdom",0.621151058873139
"02-10-1944","22:58","Two explosions reported at sea off Norfolk coast may have been Big Ben Incidents.",NA,NA,NA,NA
"02-10-1944","23:11","Two explosions reported at sea off Norfolk coast may have been Big Ben Incidents.",NA,NA,NA,NA
"03-10-1944","09:31","Beeston St. Lawrence",52.7438237,1.4482171,"Beeston St Lawrence, Ashmanhaugh, Neatishead, North Norfolk, Norfolk, East of England, England, NR12, United Kingdom",0.55
"03-10-1944","14:40","Hopton",52.3733655,0.9297292,"Hopton, West Suffolk, Suffolk, East of England, England, United Kingdom",0.445161875786798
"03-10-1944","16:55","Great Witchingham",52.736808,1.114454,"Great Witchingham, Broadland, Norfolk, East of England, England, United Kingdom",0.49190327427879
"03-10-1944","19:50","Hellesdon",52.6442219,1.2464546,"Hellesdon, Hellesdon Road, North Earlham, Norwich, Norfolk, East of England, England, NR6 5ES, United Kingdom",0.415872022275768
"03-10-1944","20:06","Denton",53.4547745,-2.1153406,"Denton, Tameside, Greater Manchester, North West England, England, M34, United Kingdom",0.496844598253808
